SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
6/9/2022 12:00:00 AM,1,264,269
6/16/2022 12:00:00 AM,1,106,108
7/29/2022 12:00:00 AM,1,55,62
7/30/2022 12:00:00 AM,2,212,231
7/31/2022 12:00:00 AM,1,116,124
8/1/2022 12:00:00 AM,3,375,401
8/2/2022 12:00:00 AM,1,263,294
8/4/2022 12:00:00 AM,1,253,284
8/6/2022 12:00:00 AM,3,222,245
8/7/2022 12:00:00 AM,1,405,453
8/8/2022 12:00:00 AM,1,564,635
8/9/2022 12:00:00 AM,1,56,64
8/10/2022 12:00:00 AM,1,258,283
8/11/2022 12:00:00 AM,1,472,496
8/12/2022 12:00:00 AM,1,104,112
8/13/2022 12:00:00 AM,2,358,374
8/23/2022 12:00:00 AM,1,444,493
8/25/2022 12:00:00 AM,1,426,483
8/26/2022 12:00:00 AM,2,616,648
8/27/2022 12:00:00 AM,1,304,343
8/28/2022 12:00:00 AM,1,457,504
8/29/2022 12:00:00 AM,2,415,450
8/31/2022 12:00:00 AM,1,426,463
9/2/2022 12:00:00 AM,1,495,497
9/3/2022 12:00:00 AM,1,64,64
9/4/2022 12:00:00 AM,2,408,428
9/5/2022 12:00:00 AM,1,177,199
9/6/2022 12:00:00 AM,1,503,531
9/8/2022 12:00:00 AM,2,677,715
9/9/2022 12:00:00 AM,1,65,68
9/11/2022 12:00:00 AM,3,607,650
9/12/2022 12:00:00 AM,1,558,642
9/13/2022 12:00:00 AM,1,222,276
9/14/2022 12:00:00 AM,2,380,450
9/15/2022 12:00:00 AM,1,514,535
9/18/2022 12:00:00 AM,1,55,60
9/19/2022 12:00:00 AM,1,169,172
9/20/2022 12:00:00 AM,3,342,358
9/23/2022 12:00:00 AM,2,218,230
9/25/2022 12:00:00 AM,2,452,468
9/26/2022 12:00:00 AM,1,429,459
9/28/2022 12:00:00 AM,4,458,475
10/3/2022 12:00:00 AM,1,161,170
10/4/2022 12:00:00 AM,1,459,485
10/8/2022 12:00:00 AM,1,83,86
10/9/2022 12:00:00 AM,1,463,493
10/10/2022 12:00:00 AM,2,591,608
10/11/2022 12:00:00 AM,1,431,465
10/12/2022 12:00:00 AM,1,73,76
10/13/2022 12:00:00 AM,2,355,372
10/14/2022 12:00:00 AM,2,465,514
10/16/2022 12:00:00 AM,1,104,111
10/17/2022 12:00:00 AM,1,289,338
10/19/2022 12:00:00 AM,1,545,579
10/20/2022 12:00:00 AM,2,601,615
10/21/2022 12:00:00 AM,1,74,84
10/22/2022 12:00:00 AM,2,369,375
10/23/2022 12:00:00 AM,1,349,381
10/24/2022 12:00:00 AM,1,385,424
10/26/2022 12:00:00 AM,2,321,359
10/27/2022 12:00:00 AM,1,109,122
10/28/2022 12:00:00 AM,1,259,266
10/31/2022 12:00:00 AM,1,499,541
11/1/2022 12:00:00 AM,1,533,564
11/3/2022 12:00:00 AM,1,230,246
11/6/2022 12:00:00 AM,2,469,520
11/10/2022 12:00:00 AM,2,214,252
11/13/2022 12:00:00 AM,2,266,298
11/14/2022 12:00:00 AM,2,200,212
11/17/2022 12:00:00 AM,1,191,200
11/18/2022 12:00:00 AM,1,367,382
11/19/2022 12:00:00 AM,1,78,84
11/23/2022 12:00:00 AM,1,420,475
11/24/2022 12:00:00 AM,1,284,328
11/27/2022 12:00:00 AM,2,171,197
11/28/2022 12:00:00 AM,1,62,69
12/2/2022 12:00:00 AM,2,357,377
12/3/2022 12:00:00 AM,1,58,63
12/4/2022 12:00:00 AM,1,204,228
12/6/2022 12:00:00 AM,1,391,452
12/8/2022 12:00:00 AM,1,438,486
12/9/2022 12:00:00 AM,1,121,131
12/10/2022 12:00:00 AM,1,486,518
12/11/2022 12:00:00 AM,1,255,261
12/13/2022 12:00:00 AM,1,375,426
12/16/2022 12:00:00 AM,1,125,128
12/17/2022 12:00:00 AM,2,482,502
12/18/2022 12:00:00 AM,1,232,244
12/19/2022 12:00:00 AM,1,106,111
12/20/2022 12:00:00 AM,2,422,444
12/21/2022 12:00:00 AM,1,446,500
12/24/2022 12:00:00 AM,1,476,512
12/26/2022 12:00:00 AM,2,694,764
12/28/2022 12:00:00 AM,1,361,400
12/29/2022 12:00:00 AM,1,318,366
12/31/2022 12:00:00 AM,2,631,682
1/3/2023 12:00:00 AM,1,428,441
1/4/2023 12:00:00 AM,1,374,386
1/6/2023 12:00:00 AM,1,344,359
1/9/2023 12:00:00 AM,1,363,384
1/10/2023 12:00:00 AM,1,458,504
1/11/2023 12:00:00 AM,1,131,145
1/12/2023 12:00:00 AM,1,521,557
1/13/2023 12:00:00 AM,1,74,81
1/15/2023 12:00:00 AM,2,534,560
1/16/2023 12:00:00 AM,1,240,254
1/17/2023 12:00:00 AM,1,76,79
1/18/2023 12:00:00 AM,2,211,221
1/19/2023 12:00:00 AM,1,151,166
1/20/2023 12:00:00 AM,1,320,344
1/27/2023 12:00:00 AM,1,308,341
1/30/2023 12:00:00 AM,1,63,74
2/2/2023 12:00:00 AM,2,544,593
2/3/2023 12:00:00 AM,1,538,589
2/8/2023 12:00:00 AM,2,285,303
2/9/2023 12:00:00 AM,2,307,325
2/11/2023 12:00:00 AM,1,54,60
2/12/2023 12:00:00 AM,2,317,335
