LogId,Time,Level,ShortWakes,SleepStage
37851503598,8/1/2022 1:01:00 AM,light,,light
37851503598,8/1/2022 1:01:30 AM,light,,light
37851503598,8/1/2022 1:02:00 AM,light,,light
37851503598,8/1/2022 1:02:30 AM,light,,light
37851503598,8/1/2022 1:03:00 AM,light,,light
37851503598,8/1/2022 1:03:30 AM,light,,light
37851503598,8/1/2022 1:04:00 AM,light,,light
37851503598,8/1/2022 1:04:30 AM,light,,light
37851503598,8/1/2022 1:05:00 AM,light,,light
37851503598,8/1/2022 1:05:30 AM,light,,light
37851503598,8/1/2022 1:06:00 AM,light,,light
37851503598,8/1/2022 1:06:30 AM,deep,,deep
37851503598,8/1/2022 1:07:00 AM,deep,,deep
37851503598,8/1/2022 1:07:30 AM,deep,,deep
37851503598,8/1/2022 1:08:00 AM,deep,,deep
37851503598,8/1/2022 1:08:30 AM,deep,,deep
37851503598,8/1/2022 1:09:00 AM,deep,,deep
37851503598,8/1/2022 1:09:30 AM,deep,,deep
37851503598,8/1/2022 1:10:00 AM,deep,,deep
37851503598,8/1/2022 1:10:30 AM,deep,,deep
37851503598,8/1/2022 1:11:00 AM,deep,,deep
37851503598,8/1/2022 1:11:30 AM,deep,,deep
37851503598,8/1/2022 1:12:00 AM,deep,,deep
37851503598,8/1/2022 1:12:30 AM,deep,,deep
37851503598,8/1/2022 1:13:00 AM,deep,,deep
37851503598,8/1/2022 1:13:30 AM,deep,,deep
37851503598,8/1/2022 1:14:00 AM,deep,,deep
37851503598,8/1/2022 1:14:30 AM,deep,,deep
37851503598,8/1/2022 1:15:00 AM,deep,,deep
37851503598,8/1/2022 1:15:30 AM,deep,,deep
37851503598,8/1/2022 1:16:00 AM,deep,,deep
37851503598,8/1/2022 1:16:30 AM,deep,,deep
37851503598,8/1/2022 1:17:00 AM,deep,,deep
37851503598,8/1/2022 1:17:30 AM,deep,,deep
37851503598,8/1/2022 1:18:00 AM,deep,,deep
37851503598,8/1/2022 1:18:30 AM,deep,,deep
37851503598,8/1/2022 1:19:00 AM,deep,,deep
37851503598,8/1/2022 1:19:30 AM,deep,,deep
37851503598,8/1/2022 1:20:00 AM,deep,,deep
37851503598,8/1/2022 1:20:30 AM,deep,,deep
37851503598,8/1/2022 1:21:00 AM,deep,,deep
37851503598,8/1/2022 1:21:30 AM,deep,,deep
37851503598,8/1/2022 1:22:00 AM,deep,,deep
37851503598,8/1/2022 1:22:30 AM,deep,,deep
37851503598,8/1/2022 1:23:00 AM,deep,,deep
37851503598,8/1/2022 1:23:30 AM,deep,,deep
37851503598,8/1/2022 1:24:00 AM,deep,,deep
37851503598,8/1/2022 1:24:30 AM,deep,,deep
37851503598,8/1/2022 1:25:00 AM,deep,,deep
37851503598,8/1/2022 1:25:30 AM,deep,,deep
37851503598,8/1/2022 1:26:00 AM,deep,,deep
37851503598,8/1/2022 1:26:30 AM,deep,,deep
37851503598,8/1/2022 1:27:00 AM,deep,,deep
37851503598,8/1/2022 1:27:30 AM,deep,,deep
37851503598,8/1/2022 1:28:00 AM,deep,,deep
37851503598,8/1/2022 1:28:30 AM,deep,,deep
37851503598,8/1/2022 1:29:00 AM,deep,,deep
37851503598,8/1/2022 1:29:30 AM,deep,,deep
37851503598,8/1/2022 1:30:00 AM,deep,,deep
37851503598,8/1/2022 1:30:30 AM,deep,,deep
37851503598,8/1/2022 1:31:00 AM,deep,,deep
37851503598,8/1/2022 1:31:30 AM,deep,,deep
37851503598,8/1/2022 1:32:00 AM,deep,,deep
37851503598,8/1/2022 1:32:30 AM,deep,,deep
37851503598,8/1/2022 1:33:00 AM,deep,,deep
37851503598,8/1/2022 1:33:30 AM,deep,,deep
37851503598,8/1/2022 1:34:00 AM,deep,,deep
37851503598,8/1/2022 1:34:30 AM,deep,,deep
37851503598,8/1/2022 1:35:00 AM,deep,,deep
37851503598,8/1/2022 1:35:30 AM,deep,,deep
37851503598,8/1/2022 1:36:00 AM,deep,,deep
37851503598,8/1/2022 1:36:30 AM,deep,,deep
37851503598,8/1/2022 1:37:00 AM,deep,,deep
37851503598,8/1/2022 1:37:30 AM,deep,,deep
37851503598,8/1/2022 1:38:00 AM,deep,,deep
37851503598,8/1/2022 1:38:30 AM,deep,,deep
37851503598,8/1/2022 1:39:00 AM,deep,,deep
37851503598,8/1/2022 1:39:30 AM,deep,,deep
37851503598,8/1/2022 1:40:00 AM,deep,,deep
37851503598,8/1/2022 1:40:30 AM,deep,,deep
37851503598,8/1/2022 1:41:00 AM,deep,,deep
37851503598,8/1/2022 1:41:30 AM,deep,,deep
37851503598,8/1/2022 1:42:00 AM,deep,,deep
37851503598,8/1/2022 1:42:30 AM,deep,,deep
37851503598,8/1/2022 1:43:00 AM,deep,,deep
37851503598,8/1/2022 1:43:30 AM,deep,,deep
37851503598,8/1/2022 1:44:00 AM,deep,wake,wake
37851503598,8/1/2022 1:44:30 AM,deep,wake,wake
37851503598,8/1/2022 1:45:00 AM,deep,wake,wake
37851503598,8/1/2022 1:45:30 AM,light,,light
37851503598,8/1/2022 1:46:00 AM,light,,light
37851503598,8/1/2022 1:46:30 AM,light,,light
37851503598,8/1/2022 1:47:00 AM,light,,light
37851503598,8/1/2022 1:47:30 AM,light,,light
37851503598,8/1/2022 1:48:00 AM,light,,light
37851503598,8/1/2022 1:48:30 AM,light,,light
37851503598,8/1/2022 1:49:00 AM,light,,light
37851503598,8/1/2022 1:49:30 AM,light,,light
37851503598,8/1/2022 1:50:00 AM,light,,light
37851503598,8/1/2022 1:50:30 AM,light,,light
37851503598,8/1/2022 1:51:00 AM,light,,light
37851503598,8/1/2022 1:51:30 AM,light,,light
37851503598,8/1/2022 1:52:00 AM,light,,light
37851503598,8/1/2022 1:52:30 AM,light,,light
37851503598,8/1/2022 1:53:00 AM,light,,light
37851503598,8/1/2022 1:53:30 AM,light,,light
37851503598,8/1/2022 1:54:00 AM,light,,light
37851503598,8/1/2022 1:54:30 AM,light,,light
37851503598,8/1/2022 1:55:00 AM,light,,light
37851503598,8/1/2022 1:55:30 AM,light,,light
37851503598,8/1/2022 1:56:00 AM,light,,light
37851503598,8/1/2022 1:56:30 AM,light,,light
37851503598,8/1/2022 1:57:00 AM,light,,light
37851503598,8/1/2022 1:57:30 AM,light,,light
37851503598,8/1/2022 1:58:00 AM,light,,light
37851503598,8/1/2022 1:58:30 AM,light,,light
37851503598,8/1/2022 1:59:00 AM,light,,light
37851503598,8/1/2022 1:59:30 AM,light,,light
37851503598,8/1/2022 2:00:00 AM,light,wake,wake
37851503598,8/1/2022 2:00:30 AM,light,,light
37851503598,8/1/2022 2:01:00 AM,light,,light
37851503598,8/1/2022 2:01:30 AM,light,,light
37851503598,8/1/2022 2:02:00 AM,light,,light
37851503598,8/1/2022 2:02:30 AM,light,,light
37851503598,8/1/2022 2:03:00 AM,light,,light
37851503598,8/1/2022 2:03:30 AM,light,,light
37851503598,8/1/2022 2:04:00 AM,light,,light
37851503598,8/1/2022 2:04:30 AM,light,,light
37851503598,8/1/2022 2:05:00 AM,light,,light
37851503598,8/1/2022 2:05:30 AM,light,,light
37851503598,8/1/2022 2:06:00 AM,light,,light
37851503598,8/1/2022 2:06:30 AM,light,,light
37851503598,8/1/2022 2:07:00 AM,light,,light
37851503598,8/1/2022 2:07:30 AM,light,,light
37851503598,8/1/2022 2:08:00 AM,light,,light
37851503598,8/1/2022 2:08:30 AM,light,,light
37851503598,8/1/2022 2:09:00 AM,light,,light
37851503598,8/1/2022 2:09:30 AM,light,,light
37851503598,8/1/2022 2:10:00 AM,light,,light
37851503598,8/1/2022 2:10:30 AM,light,,light
37851503598,8/1/2022 2:11:00 AM,light,,light
37851503598,8/1/2022 2:11:30 AM,light,,light
37851503598,8/1/2022 2:12:00 AM,light,,light
37851503598,8/1/2022 2:12:30 AM,light,,light
37851503598,8/1/2022 2:13:00 AM,light,,light
37851503598,8/1/2022 2:13:30 AM,light,,light
37851503598,8/1/2022 2:14:00 AM,light,,light
37851503598,8/1/2022 2:14:30 AM,light,,light
37851503598,8/1/2022 2:15:00 AM,light,,light
37851503598,8/1/2022 2:15:30 AM,light,,light
37851503598,8/1/2022 2:16:00 AM,light,,light
37851503598,8/1/2022 2:16:30 AM,light,,light
37851503598,8/1/2022 2:17:00 AM,light,,light
37851503598,8/1/2022 2:17:30 AM,light,,light
37851503598,8/1/2022 2:18:00 AM,light,,light
37851503598,8/1/2022 2:18:30 AM,light,,light
37851503598,8/1/2022 2:19:00 AM,light,,light
37851503598,8/1/2022 2:19:30 AM,light,,light
37851503598,8/1/2022 2:20:00 AM,light,,light
37851503598,8/1/2022 2:20:30 AM,light,,light
37851503598,8/1/2022 2:21:00 AM,light,,light
37851503598,8/1/2022 2:21:30 AM,light,wake,wake
37851503598,8/1/2022 2:22:00 AM,light,wake,wake
37851503598,8/1/2022 2:22:30 AM,light,,light
37851503598,8/1/2022 2:23:00 AM,light,,light
37851503598,8/1/2022 2:23:30 AM,light,,light
37851503598,8/1/2022 2:24:00 AM,light,,light
37851503598,8/1/2022 2:24:30 AM,light,,light
37851503598,8/1/2022 2:25:00 AM,light,,light
37851503598,8/1/2022 2:25:30 AM,light,,light
37851503598,8/1/2022 2:26:00 AM,light,,light
37851503598,8/1/2022 2:26:30 AM,light,,light
37851503598,8/1/2022 2:27:00 AM,light,,light
37851503598,8/1/2022 2:27:30 AM,light,,light
37851503598,8/1/2022 2:28:00 AM,light,,light
37851503598,8/1/2022 2:28:30 AM,light,,light
37851503598,8/1/2022 2:29:00 AM,wake,,wake
37851503598,8/1/2022 2:29:30 AM,wake,,wake
37851503598,8/1/2022 2:30:00 AM,wake,,wake
37851503598,8/1/2022 2:30:30 AM,wake,,wake
37851503598,8/1/2022 2:31:00 AM,wake,,wake
37851503598,8/1/2022 2:31:30 AM,wake,,wake
37851503598,8/1/2022 2:32:00 AM,wake,,wake
37851503598,8/1/2022 2:32:30 AM,wake,,wake
37851503598,8/1/2022 2:33:00 AM,wake,,wake
37851503598,8/1/2022 2:33:30 AM,wake,,wake
37851503598,8/1/2022 2:34:00 AM,wake,,wake
37851503598,8/1/2022 2:34:30 AM,wake,,wake
37851503598,8/1/2022 2:35:00 AM,wake,,wake
37851503598,8/1/2022 2:35:30 AM,wake,,wake
37851503598,8/1/2022 2:36:00 AM,wake,,wake
37851503598,8/1/2022 2:36:30 AM,wake,,wake
37851503598,8/1/2022 2:37:00 AM,wake,,wake
37851503598,8/1/2022 2:37:30 AM,wake,,wake
37851503598,8/1/2022 2:38:00 AM,wake,,wake
37851503598,8/1/2022 2:38:30 AM,wake,,wake
