SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1/6/2023 12:00:00 AM,2,395,446
1/7/2023 12:00:00 AM,2,627,679
1/8/2023 12:00:00 AM,1,305,328
1/9/2023 12:00:00 AM,1,426,487
1/10/2023 12:00:00 AM,1,539,582
1/11/2023 12:00:00 AM,1,442,492
1/12/2023 12:00:00 AM,1,478,542
1/13/2023 12:00:00 AM,2,161,174
1/14/2023 12:00:00 AM,1,499,544
1/15/2023 12:00:00 AM,1,468,503
1/16/2023 12:00:00 AM,1,441,480
1/17/2023 12:00:00 AM,1,309,337
1/18/2023 12:00:00 AM,1,280,281
1/19/2023 12:00:00 AM,1,269,272
1/20/2023 12:00:00 AM,1,463,521
1/21/2023 12:00:00 AM,2,499,563
1/22/2023 12:00:00 AM,2,569,608
1/23/2023 12:00:00 AM,1,549,590
1/24/2023 12:00:00 AM,1,535,558
1/25/2023 12:00:00 AM,1,524,582
1/26/2023 12:00:00 AM,1,460,479
1/27/2023 12:00:00 AM,1,545,591
1/28/2023 12:00:00 AM,2,463,508
1/29/2023 12:00:00 AM,1,523,577
1/30/2023 12:00:00 AM,2,408,430
1/31/2023 12:00:00 AM,2,541,575
2/1/2023 12:00:00 AM,1,514,541
2/2/2023 12:00:00 AM,1,538,582
2/3/2023 12:00:00 AM,1,471,509
2/4/2023 12:00:00 AM,2,567,599
2/5/2023 12:00:00 AM,1,335,365
2/6/2023 12:00:00 AM,1,195,204
2/23/2023 12:00:00 AM,1,120,134
2/24/2023 12:00:00 AM,1,489,569
2/25/2023 12:00:00 AM,1,497,538
2/26/2023 12:00:00 AM,2,610,693
2/27/2023 12:00:00 AM,1,410,435
2/28/2023 12:00:00 AM,1,487,531
3/1/2023 12:00:00 AM,1,470,505
3/2/2023 12:00:00 AM,1,414,437
3/3/2023 12:00:00 AM,1,521,572
3/4/2023 12:00:00 AM,1,512,542
3/5/2023 12:00:00 AM,1,514,568
3/6/2023 12:00:00 AM,1,413,448
3/7/2023 12:00:00 AM,1,520,571
3/8/2023 12:00:00 AM,1,492,514
3/9/2023 12:00:00 AM,2,518,550
3/10/2023 12:00:00 AM,1,450,470
3/11/2023 12:00:00 AM,1,472,527
3/12/2023 12:00:00 AM,1,655,708
3/13/2023 12:00:00 AM,2,451,484
3/14/2023 12:00:00 AM,2,506,544
3/15/2023 12:00:00 AM,1,603,658
3/16/2023 12:00:00 AM,1,520,576
3/17/2023 12:00:00 AM,1,487,540
3/18/2023 12:00:00 AM,1,523,568
3/19/2023 12:00:00 AM,1,420,441
3/20/2023 12:00:00 AM,2,394,414
3/21/2023 12:00:00 AM,2,484,524
3/22/2023 12:00:00 AM,1,514,552
3/23/2023 12:00:00 AM,1,455,493
3/24/2023 12:00:00 AM,1,539,586
3/25/2023 12:00:00 AM,1,462,508
3/26/2023 12:00:00 AM,1,560,619
3/27/2023 12:00:00 AM,1,453,488
3/28/2023 12:00:00 AM,1,533,581
3/29/2023 12:00:00 AM,1,499,525
3/30/2023 12:00:00 AM,1,540,572
3/31/2023 12:00:00 AM,2,633,671
4/1/2023 12:00:00 AM,1,502,574
4/2/2023 12:00:00 AM,1,516,576
4/3/2023 12:00:00 AM,1,568,624
4/4/2023 12:00:00 AM,2,572,610
4/6/2023 12:00:00 AM,1,561,600
4/7/2023 12:00:00 AM,2,429,454
4/8/2023 12:00:00 AM,1,460,509
4/9/2023 12:00:00 AM,1,413,443
4/10/2023 12:00:00 AM,1,562,608
4/12/2023 12:00:00 AM,1,455,504
4/13/2023 12:00:00 AM,1,509,555
4/14/2023 12:00:00 AM,1,502,546
4/15/2023 12:00:00 AM,1,498,540
4/16/2023 12:00:00 AM,1,441,482
4/17/2023 12:00:00 AM,1,426,445
4/18/2023 12:00:00 AM,3,571,604
4/19/2023 12:00:00 AM,1,501,535
4/20/2023 12:00:00 AM,1,483,533
4/21/2023 12:00:00 AM,1,489,542
4/22/2023 12:00:00 AM,1,500,550
4/23/2023 12:00:00 AM,1,357,384
4/24/2023 12:00:00 AM,1,554,581
4/25/2023 12:00:00 AM,1,464,514
4/26/2023 12:00:00 AM,1,470,498
4/27/2023 12:00:00 AM,1,522,574
4/28/2023 12:00:00 AM,1,304,312
4/30/2023 12:00:00 AM,1,632,690
5/1/2023 12:00:00 AM,1,465,531
5/2/2023 12:00:00 AM,1,464,494
5/3/2023 12:00:00 AM,1,548,603
5/4/2023 12:00:00 AM,1,497,523
5/5/2023 12:00:00 AM,1,429,449
5/6/2023 12:00:00 AM,1,552,596
5/7/2023 12:00:00 AM,1,547,579
5/8/2023 12:00:00 AM,2,450,481
5/9/2023 12:00:00 AM,1,466,535
5/10/2023 12:00:00 AM,2,343,356
5/11/2023 12:00:00 AM,1,549,586
5/12/2023 12:00:00 AM,1,284,301
5/13/2023 12:00:00 AM,1,541,593
5/14/2023 12:00:00 AM,1,241,265
5/25/2023 12:00:00 AM,2,425,462
5/26/2023 12:00:00 AM,1,548,593
5/27/2023 12:00:00 AM,1,459,485
5/28/2023 12:00:00 AM,1,534,568
5/29/2023 12:00:00 AM,2,538,582
5/30/2023 12:00:00 AM,1,457,493
