SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
10/26/2022 12:00:00 AM,1,546,569
10/27/2022 12:00:00 AM,1,511,558
10/28/2022 12:00:00 AM,3,717,788
10/29/2022 12:00:00 AM,1,533,591
10/30/2022 12:00:00 AM,2,641,701
10/31/2022 12:00:00 AM,1,389,424
11/1/2022 12:00:00 AM,1,553,600
11/20/2022 12:00:00 AM,1,326,370
11/21/2022 12:00:00 AM,1,430,488
11/28/2022 12:00:00 AM,1,447,476
11/29/2022 12:00:00 AM,1,615,642
11/30/2022 12:00:00 AM,1,468,478
12/24/2022 12:00:00 AM,1,445,463
12/25/2022 12:00:00 AM,2,324,342
12/27/2022 12:00:00 AM,3,1233,1277
12/28/2022 12:00:00 AM,1,343,363
12/29/2022 12:00:00 AM,2,1318,1429
12/30/2022 12:00:00 AM,1,730,759
1/2/2023 12:00:00 AM,3,456,483
1/3/2023 12:00:00 AM,2,295,312
