LogId,StartTime,Duration,Efficiency,IsMainSleep,MinutesAfterWakeup,MinutesAsleep,MinutesToFallAsleep,TimeInBed,AwakeCount,AwakeDuration,RestlessCount,RestlessDuration
38863826936,10/25/2022 10:05:00 PM,34140000,96,True,0,546,0,569,2,2,6,21
38887908897,10/26/2022 10:48:00 PM,33480000,92,True,0,511,0,558,2,4,18,43
38887908898,10/27/2022 10:53:30 PM,36240000,91,True,0,548,0,604,4,16,17,40
38898667160,10/28/2022 5:00:30 PM,5820000,93,False,0,90,0,97,0,0,2,7
38898667161,10/28/2022 8:13:00 PM,5220000,91,False,0,79,0,87,0,0,5,8
38898667162,10/28/2022 11:24:30 PM,35460000,90,True,1,533,0,591,7,8,22,50
38910689883,10/29/2022 10:24:30 PM,36900000,92,True,0,564,0,615,5,20,15,31
38921570563,10/30/2022 10:30:00 PM,5160000,90,False,0,77,0,86,2,4,3,5
38921570564,10/31/2022 1:05:00 AM,25440000,92,True,0,389,0,424,1,6,13,29
38934528302,10/31/2022 10:44:30 PM,36000000,93,True,3,553,0,600,1,3,23,44
39239798478,11/20/2022 1:36:00 PM,22200000,88,True,0,326,0,370,4,12,13,32
39239798479,11/21/2022 1:51:30 PM,29280000,88,True,0,430,0,488,12,13,15,45
39252989209,11/28/2022 12:01:00 AM,28560000,95,True,5,447,0,476,2,2,18,27
39263466521,11/28/2022 10:58:00 PM,38520000,96,True,0,615,0,642,9,11,8,16
39276615452,11/29/2022 11:25:30 PM,28680000,98,True,0,468,0,478,0,0,8,10
39620093205,12/23/2022 11:46:30 PM,27780000,96,True,0,445,0,463,3,4,8,14
39620093206,12/24/2022 10:44:00 PM,16440000,94,True,1,256,0,274,1,4,6,14
39620093207,12/25/2022 7:51:00 AM,4080000,100,False,0,68,0,68,0,0,0,0
39620093208,12/26/2022 4:58:30 PM,56880000,97,True,0,915,0,948,3,12,7,21
39620093209,12/27/2022 9:50:30 AM,14100000,95,False,0,224,0,235,1,3,2,8
39620093210,12/27/2022 4:48:30 PM,5640000,100,False,0,94,0,94,0,0,0,0
39620093211,12/28/2022 6:37:00 AM,21780000,94,True,0,343,0,363,3,9,4,11
39620093212,12/28/2022 7:34:30 PM,56580000,91,True,0,862,0,943,9,29,19,52
39620093213,12/29/2022 12:19:30 PM,29160000,94,False,0,456,0,486,3,6,10,24
39669697440,12/29/2022 10:55:00 PM,45540000,96,True,1,730,0,759,3,9,7,20
39669697441,1/2/2023 9:19:30 AM,6060000,95,False,0,96,0,101,0,0,2,5
39669697442,1/2/2023 12:51:30 PM,3900000,100,False,0,65,0,65,0,0,0,0
39669697443,1/2/2023 4:40:30 PM,19020000,93,True,0,295,0,317,3,6,7,16
39669697444,1/3/2023 10:42:00 AM,4140000,99,False,0,68,0,69,0,0,1,1
39669697445,1/3/2023 4:11:00 PM,14580000,93,True,0,227,0,243,1,1,3,15
