SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
9/12/2020 12:00:00 AM,1,508,620
9/13/2020 12:00:00 AM,1,662,739
9/14/2020 12:00:00 AM,1,90,96
9/15/2020 12:00:00 AM,2,661,729
9/16/2020 12:00:00 AM,3,838,923
9/17/2020 12:00:00 AM,1,300,317
9/18/2020 12:00:00 AM,1,117,133
9/19/2020 12:00:00 AM,1,104,105
9/20/2020 12:00:00 AM,2,342,350
9/21/2020 12:00:00 AM,1,198,205
9/22/2020 12:00:00 AM,3,390,416
12/9/2020 12:00:00 AM,1,536,600
12/11/2020 12:00:00 AM,2,700,753
12/12/2020 12:00:00 AM,2,756,823
12/13/2020 12:00:00 AM,2,729,758
12/14/2020 12:00:00 AM,2,570,623
12/15/2020 12:00:00 AM,3,732,782
12/16/2020 12:00:00 AM,3,701,742
12/17/2020 12:00:00 AM,1,628,724
1/2/2021 12:00:00 AM,2,188,209
1/3/2021 12:00:00 AM,3,625,677
1/4/2021 12:00:00 AM,3,752,813
1/5/2021 12:00:00 AM,3,330,380
1/6/2021 12:00:00 AM,2,142,167
1/7/2021 12:00:00 AM,1,97,105
1/8/2021 12:00:00 AM,3,1021,1110
1/9/2021 12:00:00 AM,3,714,767
1/10/2021 12:00:00 AM,2,879,954
1/11/2021 12:00:00 AM,2,1013,1050
1/12/2021 12:00:00 AM,2,534,571
1/13/2021 12:00:00 AM,2,766,820
1/14/2021 12:00:00 AM,1,651,734
1/19/2021 12:00:00 AM,5,641,681
1/20/2021 12:00:00 AM,3,706,762
1/21/2021 12:00:00 AM,2,712,796
1/22/2021 12:00:00 AM,2,737,833
1/23/2021 12:00:00 AM,2,584,621
1/24/2021 12:00:00 AM,1,510,561
1/26/2021 12:00:00 AM,2,573,638
1/27/2021 12:00:00 AM,2,903,956
1/28/2021 12:00:00 AM,2,704,800
1/29/2021 12:00:00 AM,1,638,733
1/30/2021 12:00:00 AM,1,102,113
1/31/2021 12:00:00 AM,1,488,543
2/1/2021 12:00:00 AM,1,619,646
2/9/2021 12:00:00 AM,1,88,100
2/10/2021 12:00:00 AM,2,199,208
2/11/2021 12:00:00 AM,2,415,424
2/12/2021 12:00:00 AM,3,500,528
2/13/2021 12:00:00 AM,2,548,575
2/14/2021 12:00:00 AM,3,640,666
2/15/2021 12:00:00 AM,3,531,555
2/16/2021 12:00:00 AM,1,476,538
