SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
3/5/2021 12:00:00 AM,2,226,245
3/6/2021 12:00:00 AM,2,802,867
3/7/2021 12:00:00 AM,2,828,874
3/8/2021 12:00:00 AM,2,692,782
3/9/2021 12:00:00 AM,1,492,539
3/11/2021 12:00:00 AM,2,666,746
3/12/2021 12:00:00 AM,1,637,687
3/13/2021 12:00:00 AM,1,452,501
3/14/2021 12:00:00 AM,1,652,698
3/19/2021 12:00:00 AM,1,151,166
3/20/2021 12:00:00 AM,1,323,341
3/21/2021 12:00:00 AM,1,367,399
3/22/2021 12:00:00 AM,1,627,680
3/26/2021 12:00:00 AM,2,564,592
3/28/2021 12:00:00 AM,1,62,64
3/29/2021 12:00:00 AM,2,778,844
4/20/2021 12:00:00 AM,2,718,812
4/21/2021 12:00:00 AM,3,468,484
4/22/2021 12:00:00 AM,2,484,544
4/23/2021 12:00:00 AM,1,716,729
4/24/2021 12:00:00 AM,1,728,809
4/25/2021 12:00:00 AM,2,363,411
4/27/2021 12:00:00 AM,3,600,663
4/28/2021 12:00:00 AM,2,204,219
4/29/2021 12:00:00 AM,3,276,291
4/30/2021 12:00:00 AM,1,285,301
5/1/2021 12:00:00 AM,1,670,732
6/4/2021 12:00:00 AM,2,765,885
6/5/2021 12:00:00 AM,1,434,460
6/10/2021 12:00:00 AM,1,321,321
6/17/2021 12:00:00 AM,1,94,100
6/18/2021 12:00:00 AM,1,471,504
6/20/2021 12:00:00 AM,1,70,70
6/21/2021 12:00:00 AM,1,529,602
6/23/2021 12:00:00 AM,2,589,639
6/24/2021 12:00:00 AM,1,478,535
6/28/2021 12:00:00 AM,1,555,635
6/29/2021 12:00:00 AM,2,782,875
6/30/2021 12:00:00 AM,1,788,902
7/8/2021 12:00:00 AM,1,516,584
7/10/2021 12:00:00 AM,1,345,346
7/11/2021 12:00:00 AM,1,577,635
7/12/2021 12:00:00 AM,1,535,580
7/13/2021 12:00:00 AM,2,622,681
7/15/2021 12:00:00 AM,3,684,726
7/16/2021 12:00:00 AM,2,611,668
7/24/2021 12:00:00 AM,1,596,666
7/25/2021 12:00:00 AM,1,399,427
7/26/2021 12:00:00 AM,2,605,650
7/28/2021 12:00:00 AM,1,524,571
7/29/2021 12:00:00 AM,1,216,244
7/30/2021 12:00:00 AM,2,551,602
8/8/2021 12:00:00 AM,1,76,77
8/9/2021 12:00:00 AM,1,747,817
8/10/2021 12:00:00 AM,1,541,569
8/11/2021 12:00:00 AM,1,612,656
8/12/2021 12:00:00 AM,1,641,680
8/15/2021 12:00:00 AM,1,564,606
8/16/2021 12:00:00 AM,1,647,695
8/17/2021 12:00:00 AM,1,548,594
8/18/2021 12:00:00 AM,1,489,522
8/23/2021 12:00:00 AM,1,500,551
8/24/2021 12:00:00 AM,1,544,586
8/25/2021 12:00:00 AM,3,667,728
8/26/2021 12:00:00 AM,1,340,342
8/27/2021 12:00:00 AM,1,576,601
8/28/2021 12:00:00 AM,1,597,653
8/29/2021 12:00:00 AM,1,508,543
9/13/2021 12:00:00 AM,1,615,660
9/14/2021 12:00:00 AM,2,419,473
9/15/2021 12:00:00 AM,1,414,449
9/16/2021 12:00:00 AM,1,579,632
9/22/2021 12:00:00 AM,1,539,590
9/23/2021 12:00:00 AM,1,525,565
9/24/2021 12:00:00 AM,2,629,677
9/26/2021 12:00:00 AM,1,391,419
9/27/2021 12:00:00 AM,1,660,694
9/28/2021 12:00:00 AM,1,631,688
9/29/2021 12:00:00 AM,1,425,467
9/30/2021 12:00:00 AM,1,467,489
10/3/2021 12:00:00 AM,2,604,680
10/7/2021 12:00:00 AM,2,511,571
10/8/2021 12:00:00 AM,1,566,603
10/9/2021 12:00:00 AM,3,709,757
10/10/2021 12:00:00 AM,2,496,552
10/14/2021 12:00:00 AM,1,579,620
10/15/2021 12:00:00 AM,1,90,99
10/16/2021 12:00:00 AM,1,572,608
10/17/2021 12:00:00 AM,1,531,574
10/18/2021 12:00:00 AM,1,643,679
10/19/2021 12:00:00 AM,2,668,718
10/20/2021 12:00:00 AM,2,747,811
11/8/2021 12:00:00 AM,1,639,716
11/9/2021 12:00:00 AM,1,713,802
11/11/2021 12:00:00 AM,1,655,711
11/12/2021 12:00:00 AM,1,604,634
11/13/2021 12:00:00 AM,2,689,750
11/15/2021 12:00:00 AM,1,425,447
11/16/2021 12:00:00 AM,1,608,682
11/17/2021 12:00:00 AM,1,708,775
11/18/2021 12:00:00 AM,1,624,707
11/19/2021 12:00:00 AM,1,483,556
11/27/2021 12:00:00 AM,2,621,667
11/28/2021 12:00:00 AM,1,68,77
11/29/2021 12:00:00 AM,1,809,889
11/30/2021 12:00:00 AM,1,634,721
12/1/2021 12:00:00 AM,1,672,730
12/7/2021 12:00:00 AM,1,439,473
12/8/2021 12:00:00 AM,1,834,924
12/10/2021 12:00:00 AM,1,765,856
12/11/2021 12:00:00 AM,1,869,924
12/26/2021 12:00:00 AM,3,670,731
12/27/2021 12:00:00 AM,1,774,831
12/28/2021 12:00:00 AM,3,727,801
12/29/2021 12:00:00 AM,1,705,786
12/30/2021 12:00:00 AM,1,601,656
1/17/2022 12:00:00 AM,1,550,587
1/24/2022 12:00:00 AM,3,651,704
1/25/2022 12:00:00 AM,1,661,757
1/26/2022 12:00:00 AM,1,704,746
1/27/2022 12:00:00 AM,3,564,590
1/29/2022 12:00:00 AM,3,554,598
1/30/2022 12:00:00 AM,1,692,736
1/31/2022 12:00:00 AM,2,456,482
2/1/2022 12:00:00 AM,1,876,993
2/2/2022 12:00:00 AM,2,515,551
2/7/2022 12:00:00 AM,1,549,620
2/8/2022 12:00:00 AM,1,632,698
2/9/2022 12:00:00 AM,2,780,849
2/10/2022 12:00:00 AM,1,519,553
2/11/2022 12:00:00 AM,1,66,66
2/12/2022 12:00:00 AM,4,544,567
2/13/2022 12:00:00 AM,1,434,485
2/14/2022 12:00:00 AM,1,578,619
2/15/2022 12:00:00 AM,1,494,541
2/23/2022 12:00:00 AM,2,705,741
2/24/2022 12:00:00 AM,2,926,1006
2/25/2022 12:00:00 AM,1,197,206
2/26/2022 12:00:00 AM,1,448,481
3/2/2022 12:00:00 AM,1,507,523
3/4/2022 12:00:00 AM,1,662,693
3/10/2022 12:00:00 AM,1,427,446
3/11/2022 12:00:00 AM,2,647,744
3/12/2022 12:00:00 AM,1,656,713
3/13/2022 12:00:00 AM,2,556,602
3/14/2022 12:00:00 AM,1,720,789
3/23/2022 12:00:00 AM,1,156,179
3/25/2022 12:00:00 AM,1,220,230
3/26/2022 12:00:00 AM,1,639,673
3/27/2022 12:00:00 AM,1,502,540
3/28/2022 12:00:00 AM,1,547,604
3/29/2022 12:00:00 AM,1,409,423
3/30/2022 12:00:00 AM,1,555,626
3/31/2022 12:00:00 AM,1,489,517
4/1/2022 12:00:00 AM,1,532,548
4/2/2022 12:00:00 AM,1,658,692
4/4/2022 12:00:00 AM,1,537,585
4/5/2022 12:00:00 AM,1,573,585
4/6/2022 12:00:00 AM,1,556,606
4/7/2022 12:00:00 AM,1,355,389
4/8/2022 12:00:00 AM,1,415,435
4/9/2022 12:00:00 AM,1,595,641
4/10/2022 12:00:00 AM,2,613,646
4/11/2022 12:00:00 AM,1,582,604
4/12/2022 12:00:00 AM,1,580,610
4/14/2022 12:00:00 AM,1,507,552
4/15/2022 12:00:00 AM,1,433,477
4/16/2022 12:00:00 AM,1,536,600
4/18/2022 12:00:00 AM,2,537,573
4/19/2022 12:00:00 AM,2,663,715
5/23/2022 12:00:00 AM,1,663,732
5/24/2022 12:00:00 AM,1,457,502
5/25/2022 12:00:00 AM,1,655,694
5/26/2022 12:00:00 AM,2,672,708
5/27/2022 12:00:00 AM,2,717,760
5/28/2022 12:00:00 AM,1,509,538
6/12/2022 12:00:00 AM,1,464,493
6/13/2022 12:00:00 AM,1,616,638
6/14/2022 12:00:00 AM,2,410,440
6/15/2022 12:00:00 AM,1,568,594
6/16/2022 12:00:00 AM,1,598,633
6/17/2022 12:00:00 AM,1,174,184
6/19/2022 12:00:00 AM,1,482,514
6/20/2022 12:00:00 AM,1,666,708
6/21/2022 12:00:00 AM,2,615,653
6/22/2022 12:00:00 AM,1,558,630
6/23/2022 12:00:00 AM,1,602,653
6/30/2022 12:00:00 AM,1,639,667
7/1/2022 12:00:00 AM,2,627,693
7/2/2022 12:00:00 AM,1,354,369
7/3/2022 12:00:00 AM,2,330,345
7/4/2022 12:00:00 AM,1,614,667
7/5/2022 12:00:00 AM,1,584,608
8/2/2022 12:00:00 AM,1,640,688
8/3/2022 12:00:00 AM,1,350,362
8/31/2022 12:00:00 AM,1,56,63
9/1/2022 12:00:00 AM,2,671,720
9/2/2022 12:00:00 AM,1,609,680
9/3/2022 12:00:00 AM,1,515,552
9/4/2022 12:00:00 AM,2,673,710
9/5/2022 12:00:00 AM,3,550,558
9/6/2022 12:00:00 AM,1,631,663
9/7/2022 12:00:00 AM,1,556,592
9/21/2022 12:00:00 AM,1,53,60
9/22/2022 12:00:00 AM,1,107,122
9/23/2022 12:00:00 AM,2,355,385
9/24/2022 12:00:00 AM,2,604,639
9/25/2022 12:00:00 AM,2,717,781
9/26/2022 12:00:00 AM,1,587,614
9/27/2022 12:00:00 AM,2,541,597
9/29/2022 12:00:00 AM,1,489,522
9/30/2022 12:00:00 AM,1,90,108
10/1/2022 12:00:00 AM,2,755,835
10/2/2022 12:00:00 AM,1,599,648
10/3/2022 12:00:00 AM,2,690,733
10/6/2022 12:00:00 AM,1,63,63
10/7/2022 12:00:00 AM,1,679,723
10/8/2022 12:00:00 AM,1,670,718
10/9/2022 12:00:00 AM,1,647,673
10/10/2022 12:00:00 AM,1,735,836
10/11/2022 12:00:00 AM,1,640,680
10/22/2022 12:00:00 AM,2,691,749
10/23/2022 12:00:00 AM,2,717,775
10/24/2022 12:00:00 AM,1,420,442
10/25/2022 12:00:00 AM,2,654,690
10/26/2022 12:00:00 AM,1,644,669
10/27/2022 12:00:00 AM,2,531,579
10/28/2022 12:00:00 AM,1,590,624
10/29/2022 12:00:00 AM,2,457,459
10/30/2022 12:00:00 AM,2,710,734
10/31/2022 12:00:00 AM,3,707,757
11/1/2022 12:00:00 AM,3,719,759
11/2/2022 12:00:00 AM,2,554,591
11/3/2022 12:00:00 AM,1,244,246
11/6/2022 12:00:00 AM,2,573,604
12/4/2022 12:00:00 AM,1,541,580
12/5/2022 12:00:00 AM,1,570,595
12/6/2022 12:00:00 AM,1,607,643
12/8/2022 12:00:00 AM,1,222,231
12/11/2022 12:00:00 AM,1,249,259
12/12/2022 12:00:00 AM,1,626,683
12/13/2022 12:00:00 AM,1,647,677
12/14/2022 12:00:00 AM,1,369,395
12/15/2022 12:00:00 AM,1,466,484
12/16/2022 12:00:00 AM,1,754,831
12/17/2022 12:00:00 AM,1,784,834
12/18/2022 12:00:00 AM,2,254,262
12/19/2022 12:00:00 AM,2,1030,1152
12/20/2022 12:00:00 AM,1,323,358
12/21/2022 12:00:00 AM,1,692,709
12/22/2022 12:00:00 AM,1,720,744
12/23/2022 12:00:00 AM,2,486,535
12/24/2022 12:00:00 AM,1,624,649
12/26/2022 12:00:00 AM,2,590,635
12/27/2022 12:00:00 AM,1,700,793
12/28/2022 12:00:00 AM,1,702,730
12/29/2022 12:00:00 AM,1,634,650
12/30/2022 12:00:00 AM,1,606,638
12/31/2022 12:00:00 AM,1,553,595
1/1/2023 12:00:00 AM,1,573,669
1/2/2023 12:00:00 AM,2,660,757
1/3/2023 12:00:00 AM,1,882,925
1/4/2023 12:00:00 AM,2,617,647
1/30/2023 12:00:00 AM,2,680,713
1/31/2023 12:00:00 AM,2,688,763
2/1/2023 12:00:00 AM,2,557,591
2/2/2023 12:00:00 AM,1,477,506
2/4/2023 12:00:00 AM,1,468,494
2/5/2023 12:00:00 AM,2,758,798
2/6/2023 12:00:00 AM,1,659,694
2/7/2023 12:00:00 AM,1,532,591
2/20/2023 12:00:00 AM,1,567,598
2/21/2023 12:00:00 AM,1,651,689
2/22/2023 12:00:00 AM,1,475,533
2/23/2023 12:00:00 AM,2,335,353
2/24/2023 12:00:00 AM,2,289,295
2/25/2023 12:00:00 AM,1,520,557
2/26/2023 12:00:00 AM,1,449,474
2/27/2023 12:00:00 AM,2,320,333
2/28/2023 12:00:00 AM,1,536,560
3/1/2023 12:00:00 AM,2,659,701
3/2/2023 12:00:00 AM,2,621,682
3/3/2023 12:00:00 AM,1,609,646
3/4/2023 12:00:00 AM,1,531,589
3/7/2023 12:00:00 AM,2,607,683
3/8/2023 12:00:00 AM,1,556,584
3/9/2023 12:00:00 AM,3,624,682
3/10/2023 12:00:00 AM,1,572,601
3/11/2023 12:00:00 AM,1,682,734
3/13/2023 12:00:00 AM,1,445,483
3/14/2023 12:00:00 AM,1,560,607
3/15/2023 12:00:00 AM,1,432,468
3/16/2023 12:00:00 AM,1,438,477
3/17/2023 12:00:00 AM,1,266,276
3/18/2023 12:00:00 AM,1,595,645
3/19/2023 12:00:00 AM,1,477,506
3/20/2023 12:00:00 AM,2,497,522
3/21/2023 12:00:00 AM,1,183,191
3/22/2023 12:00:00 AM,1,358,402
3/23/2023 12:00:00 AM,1,599,632
3/24/2023 12:00:00 AM,1,671,697
3/25/2023 12:00:00 AM,1,502,556
3/26/2023 12:00:00 AM,1,504,526
3/27/2023 12:00:00 AM,1,605,629
3/28/2023 12:00:00 AM,1,582,635
3/29/2023 12:00:00 AM,1,586,626
3/30/2023 12:00:00 AM,1,477,537
3/31/2023 12:00:00 AM,1,517,541
4/1/2023 12:00:00 AM,2,559,588
4/2/2023 12:00:00 AM,1,561,581
4/3/2023 12:00:00 AM,1,479,548
4/4/2023 12:00:00 AM,1,425,451
4/5/2023 12:00:00 AM,1,627,681
4/8/2023 12:00:00 AM,1,616,676
4/9/2023 12:00:00 AM,1,95,96
4/26/2023 12:00:00 AM,1,63,71
4/27/2023 12:00:00 AM,3,616,657
4/28/2023 12:00:00 AM,4,916,956
4/29/2023 12:00:00 AM,1,407,463
4/30/2023 12:00:00 AM,2,684,714
5/1/2023 12:00:00 AM,3,712,758
5/2/2023 12:00:00 AM,3,637,673
5/3/2023 12:00:00 AM,1,79,79
5/4/2023 12:00:00 AM,2,771,851
5/5/2023 12:00:00 AM,1,467,534
5/7/2023 12:00:00 AM,2,302,312
5/8/2023 12:00:00 AM,1,479,525
5/9/2023 12:00:00 AM,3,752,786
5/10/2023 12:00:00 AM,1,698,738
5/11/2023 12:00:00 AM,1,683,723
5/12/2023 12:00:00 AM,1,405,426
5/18/2023 12:00:00 AM,1,192,207
5/19/2023 12:00:00 AM,1,537,587
5/20/2023 12:00:00 AM,2,644,699
5/21/2023 12:00:00 AM,1,519,601
5/22/2023 12:00:00 AM,1,480,523
5/23/2023 12:00:00 AM,2,994,1060
