LogId,StartTime,Duration,Efficiency,IsMainSleep,MinutesAfterWakeup,MinutesAsleep,MinutesToFallAsleep,TimeInBed,AwakeCount,AwakeDuration,RestlessCount,RestlessDuration
28929365086,9/11/2020 6:52:00 PM,37200000,82,True,0,508,0,620,12,16,25,96
28929365087,9/12/2020 9:17:30 PM,44340000,90,True,0,662,0,739,4,49,13,28
28929365088,9/14/2020 11:09:00 AM,5760000,94,True,0,90,0,96,1,2,3,4
28929365089,9/14/2020 7:37:00 PM,36060000,89,True,0,534,0,601,6,37,14,30
28929365090,9/15/2020 6:58:00 AM,7680000,99,False,0,127,0,128,0,0,1,1
28929365091,9/15/2020 6:57:00 PM,26520000,90,True,0,400,0,442,5,14,12,28
28929365092,9/16/2020 3:47:00 AM,6420000,95,False,0,102,0,107,1,2,3,3
28929365093,9/16/2020 5:43:00 PM,22440000,90,False,0,336,0,374,3,16,8,22
28929365094,9/17/2020 1:10:30 AM,19020000,95,True,0,300,0,317,2,2,5,15
28929365095,9/18/2020 6:43:30 AM,7980000,88,True,0,117,0,133,2,8,5,8
28944365999,9/19/2020 3:41:00 PM,6300000,99,True,0,104,0,105,0,0,1,1
28956567761,9/19/2020 8:41:00 PM,12060000,100,True,0,201,0,201,0,0,0,0
28956567762,9/20/2020 3:00:00 AM,8940000,95,False,0,141,0,149,1,1,5,7
28974694400,9/21/2020 7:53:30 PM,12300000,97,True,0,198,0,205,0,0,2,7
28981321595,9/22/2020 3:19:00 AM,15180000,96,True,0,242,0,253,1,1,4,10
28983933278,9/22/2020 11:53:00 AM,5760000,91,False,0,87,0,96,1,2,3,7
28992596375,9/22/2020 8:24:30 PM,4020000,100,False,6,61,0,67,0,0,1,6
29993649548,12/8/2020 9:39:00 PM,36000000,91,True,0,536,0,600,2,5,6,15
30101636918,12/10/2020 9:36:30 PM,39840000,92,True,0,614,0,664,4,16,13,34
30101636919,12/11/2020 3:33:30 PM,5340000,97,False,0,86,0,89,0,0,1,3
30101636920,12/11/2020 9:16:00 PM,41940000,91,True,0,639,0,699,7,27,16,33
30101636921,12/12/2020 11:33:30 AM,7440000,94,False,0,117,0,124,1,2,3,5
30101636922,12/12/2020 8:37:00 PM,17460000,95,False,0,277,0,291,1,3,4,11
30101636923,12/13/2020 2:44:30 AM,28020000,97,True,0,452,0,467,4,5,7,10
30101636924,12/13/2020 7:41:30 PM,29940000,90,True,0,450,0,499,5,27,11,22
30101636925,12/14/2020 7:27:00 AM,7440000,97,False,0,120,0,124,1,4,0,0
30101636926,12/14/2020 8:32:00 PM,18120000,91,False,0,274,0,302,2,6,9,22
30101636927,12/15/2020 2:57:00 AM,24360000,95,True,0,384,0,406,2,3,7,19
30101636928,12/15/2020 3:32:30 PM,4440000,100,False,0,74,0,74,0,0,0,0
30101636929,12/15/2020 7:28:30 PM,30840000,95,True,0,487,0,514,2,12,8,15
30101636930,12/16/2020 5:58:30 AM,10080000,94,False,0,158,0,168,1,4,3,6
30101636931,12/16/2020 11:20:00 AM,3600000,93,False,0,56,0,60,0,0,2,4
30103942379,12/16/2020 11:45:00 PM,43440000,88,True,0,628,0,724,1,2,2,7
30396943903,1/2/2021 2:47:30 AM,7080000,91,True,0,107,0,118,1,1,5,10
30396943904,1/2/2021 4:27:30 PM,5460000,89,False,0,81,0,91,2,3,4,7
30396943905,1/2/2021 9:52:00 PM,24600000,92,True,0,379,0,410,3,3,6,28
30396943906,1/3/2021 7:43:00 AM,12360000,93,False,0,192,0,206,0,0,9,14
30396943907,1/3/2021 2:33:00 PM,3660000,89,False,0,54,0,61,0,0,3,7
30396943908,1/3/2021 9:09:30 PM,27360000,89,True,0,404,0,456,6,8,15,44
30396943909,1/4/2021 10:51:00 AM,8640000,98,False,0,141,0,144,0,0,2,3
30396943910,1/4/2021 8:12:00 PM,12780000,97,False,0,207,0,213,0,0,3,6
30396943911,1/5/2021 1:20:30 AM,5640000,74,False,0,70,0,94,1,1,9,23
30396943912,1/5/2021 4:25:00 AM,13140000,91,True,0,199,0,219,3,3,6,17
30396943913,1/5/2021 11:21:30 AM,4020000,92,False,1,61,0,67,1,1,3,5
30396943914,1/6/2021 11:32:30 AM,3600000,75,False,0,45,0,60,1,1,4,14
30396943915,1/6/2021 6:41:30 PM,6420000,91,True,0,97,0,107,1,2,3,8
30396943916,1/7/2021 2:38:00 PM,6300000,92,True,0,97,0,105,1,2,2,6
30396943917,1/7/2021 7:48:00 PM,55440000,92,True,0,852,0,924,15,17,20,55
30398467153,1/8/2021 3:13:30 PM,7140000,92,False,0,109,0,119,1,6,3,4
30409284430,1/8/2021 8:46:00 PM,4020000,90,False,0,60,0,67,0,0,2,7
30409284431,1/8/2021 11:12:00 PM,33360000,92,True,0,511,0,556,5,19,8,26
30409875208,1/9/2021 10:08:00 AM,5940000,98,False,0,97,0,99,0,0,2,2
30411622863,1/9/2021 3:20:00 PM,6720000,95,False,0,106,0,112,0,0,2,6
30415256974,1/9/2021 9:36:30 PM,53160000,92,True,0,815,0,886,0,0,6,18
30485671028,1/10/2021 7:05:00 PM,4080000,94,False,0,64,0,68,0,0,2,4
30485671029,1/10/2021 9:38:30 PM,41160000,96,True,0,661,0,686,2,5,17,20
30485671030,1/11/2021 11:13:30 AM,21840000,97,False,0,352,0,364,1,2,3,10
30485671031,1/11/2021 8:11:00 PM,27660000,93,True,0,430,0,461,5,9,10,22
30485671032,1/12/2021 5:07:00 AM,6600000,95,False,1,104,0,110,1,2,3,4
30485671033,1/12/2021 9:20:30 PM,39660000,92,True,0,608,0,661,4,21,13,32
30485671034,1/13/2021 9:27:00 AM,9540000,99,False,0,158,0,159,0,0,1,1
30485671035,1/13/2021 9:24:00 PM,44040000,89,True,2,651,0,734,4,28,20,55
30640547477,1/18/2021 11:34:00 PM,9060000,93,False,0,141,0,151,1,2,4,8
30640547478,1/19/2021 5:33:00 AM,5280000,95,False,0,84,0,88,1,1,1,3
30640547479,1/19/2021 8:34:30 AM,8220000,96,False,0,131,0,137,0,0,3,6
30640547480,1/19/2021 12:10:00 PM,12540000,91,True,0,191,0,209,1,8,6,10
30640547481,1/19/2021 7:48:30 PM,5760000,98,False,0,94,0,96,0,0,2,2
30640547482,1/20/2021 3:35:00 AM,10500000,96,False,0,168,0,175,0,0,5,7
30640547483,1/20/2021 8:49:30 AM,23940000,91,True,0,362,0,399,5,15,12,22
30640547484,1/20/2021 4:43:30 PM,11280000,94,False,0,176,0,188,0,0,4,12
30640547485,1/21/2021 3:20:00 AM,42060000,89,True,0,621,0,701,5,22,17,58
30640547486,1/21/2021 9:13:30 PM,5700000,96,False,0,91,0,95,1,1,2,3
30640547487,1/22/2021 4:38:00 AM,45540000,88,True,0,668,0,759,8,26,20,65
